week,stock_trade_date,actual_stock_close_raw,predicted_stock_close,residual
2024-07-05,2024-07-05,7.69,7.244004751905361,0.445995248094639
2024-07-12,2024-07-12,7.92,7.071199767075412,0.8488002329245878
2024-07-19,2024-07-19,7.26,6.859120428925134,0.4008795710748654
2024-07-26,2024-07-26,6.82,6.689982728477219,0.13001727152278164
2024-08-02,2024-08-02,6.57,6.765179368062868,-0.19517936806286773
2024-08-09,2024-08-09,6.47,6.7633412800732575,-0.29334128007325777
2024-08-16,2024-08-16,6.62,6.971010024028521,-0.351010024028521
2024-08-23,2024-08-23,6.78,7.101873177692374,-0.3218731776923738
2024-08-30,2024-08-30,6.83,7.146169562999172,-0.3161695629991721
2024-09-06,2024-09-06,6.46,6.695738521735476,-0.23573852173547571
2024-09-13,2024-09-13,6.32,6.975295499325218,-0.6552954993252174
2024-09-20,2024-09-20,7.06,7.178939111663354,-0.11893911166335425
2024-09-27,2024-09-27,8.13,7.4928767105169305,0.6371232894830703
2024-10-04,2024-09-30,8.9,7.558348040044075,1.3416519599559251
2024-10-11,2024-10-11,8.52,8.06760172770362,0.45239827229637974
2024-10-18,2024-10-18,8.55,8.125849605897045,0.42415039410295563
2024-10-25,2024-10-25,8.49,8.308225243134666,0.18177475686533384
2024-11-01,2024-11-01,7.94,8.367591545408393,-0.4275915454083927
2024-11-08,2024-11-08,8.5,9.061444736813723,-0.5614447368137228
2024-11-15,2024-11-15,7.98,8.365228653169535,-0.38522865316953414
2024-11-22,2024-11-22,7.65,8.110608278056525,-0.46060827805652416
2024-11-29,2024-11-29,7.52,7.972425608115679,-0.45242560811567945
2024-12-06,2024-12-06,7.64,7.887650980911834,-0.24765098091183457
2024-12-13,2024-12-13,7.6,7.668449054030182,-0.06844905403018231
2024-12-20,2024-12-20,7.28,7.431795191138157,-0.15179519113815676
2024-12-27,2024-12-27,7.28,7.270875102214859,0.00912489778514125
2025-01-03,2025-01-03,7.3,7.190970824039827,0.10902917596017314
2025-01-10,2025-01-10,7.28,7.314718832247872,-0.03471883224787131
2025-01-17,2025-01-17,7.8,7.466577000833181,0.33342299916681917
2025-01-24,2025-01-24,7.87,7.3594468644074444,0.5105531355925557
2025-01-31,2025-01-27,7.76,7.239556671301074,0.5204433286989261
2025-02-07,2025-02-07,7.82,7.417023844271625,0.40297615572837486
2025-02-14,2025-02-14,7.66,7.4854132483961,0.17458675160390058
2025-02-21,2025-02-21,7.7,7.580241769639116,0.11975823036088418
2025-02-28,2025-02-28,7.15,7.434024363755157,-0.2840243637551563
2025-03-07,2025-03-07,7.73,7.52428025717938,0.20571974282062033
2025-03-14,2025-03-14,7.8,7.606162092656056,0.19383790734394424
2025-03-21,2025-03-21,7.58,7.479496646072169,0.10050335392783083
2025-03-28,2025-03-28,7.58,7.413555792324767,0.16644420767523282
