trade_date,company,frequency,mode,model_version,profit_model_version,strict_status,blocked_reason,signal_status,actual_stock_close_raw,model_price,gap,signal,q_profit_pred_bn,annual_profit_pred_bn,eps_pred,target_pe,demand_score,is_q4,visible_quarter,visible_financial_announcement_date,visible_production_available_date,train_quarters_count,ridge_alpha,ridge_intercept,ridge_coef_json,data_quality_flag,cu_price,au_price_rmb_g,cu_ton,au_kg,cu_au_revenue_index,revenue_x_demand,cu_demand_score,au_demand_score,cu_inventory_score,cu_price_trend_score,power_grid_proxy_score,pmi_score,risk_score,real_rate_score,central_bank_gold_proxy_score,gold_etf_proxy_score,usd_score,production_data_source,production_strict_usable,parse_confidence,fwd_1d_return,fwd_3d_return,fwd_6d_return
2024-08-26,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,16.21,14.402691116890914,0.12548411046526886,overvalued,82.64961773122292,330.59847092489167,1.2432720504113859,11.584504865307004,0.5961262163267511,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk,real_rate;DEFAULT_PROXY:cu_inventory,power_grid_proxy,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",75170.0,574.89,256351.0,18595.0,29.95998422,2.8799399242777697,0.614724768695357,0.5615860476421974,0.5,0.7,0.55,0.38822751322751325,0.9766042780748663,0.4297520661157025,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,-0.00863664404688469,-0.01727328809376938,-0.044417026526835324
2024-08-27,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,16.07,14.338939591660486,0.12072443692742096,overvalued,82.30203633205588,329.2081453282235,1.2380434933933417,11.581935261707988,0.5954838154269972,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk,real_rate;DEFAULT_PROXY:cu_inventory,power_grid_proxy,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",75010.0,573.99,256351.0,18595.0,29.90223256,2.855179254614187,0.6149242424242425,0.5593801652892562,0.5,0.7,0.55,0.3888888888888889,0.9772727272727273,0.4221763085399449,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,-0.01555693839452399,-0.00435594275046669,-0.08649657747355322
2024-08-28,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,15.82,14.20471022876733,0.11371508078787773,neutral,81.57214696645528,326.2885878658211,1.2270639985928362,11.576177155435175,0.5940442888587942,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk,real_rate;DEFAULT_PROXY:cu_inventory,power_grid_proxy,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",74590.0,573.33,256351.0,18595.0,29.78229244,2.8008545131044436,0.6142213097360156,0.5565726786582402,0.5,0.7,0.55,0.38955026455026454,0.9719251336898396,0.41460055096418735,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,0.006953223767383054,-0.013274336283185861,-0.07206068268015176
2024-08-29,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,15.93,14.064971238905896,0.1326009651505824,overvalued,80.88185272002033,323.52741088008133,1.2166801206426283,11.56012250079095,0.5900306251977375,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk,real_rate;DEFAULT_PROXY:cu_inventory,power_grid_proxy,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",74200.0,574.9,256351.0,18595.0,29.7115097,2.674945793859643,0.6119140989729226,0.5493898881866797,0.5,0.7,0.55,0.39021164021164023,0.9558823529411765,0.3960055096418733,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,0.00439422473320783,-0.02762084118016317,-0.07344632768361581
2024-08-30,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,16.0,14.077816946055675,0.13653985282731518,overvalued,80.90848600907458,323.6339440362983,1.2170807567834918,11.566871686691204,0.5917179216728014,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk,real_rate;DEFAULT_PROXY:cu_inventory,power_grid_proxy,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",74220.0,573.44,256351.0,18595.0,29.68948802,2.723058136723934,0.616224535268653,0.5462056392805056,0.5,0.7,0.55,0.39087301587301587,0.983957219251337,0.37603305785123964,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,-0.024375000000000036,-0.08250000000000002,-0.11562499999999998
2024-09-02,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,15.61,13.429695072563478,0.1623495481956867,overvalued,77.84639942059587,311.3855976823835,1.1710187570320163,11.468385960444785,0.5670964901111961,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk;DEFAULT_PROXY:cu_inventory,power_grid_proxy,real_rate,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",73610.0,570.7,256351.0,18595.0,29.48216361,1.9781496991150311,0.5660945590357356,0.5689572192513369,0.5,0.7,0.55,0.20105820105820105,0.839572192513369,0.5,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,-0.0076873798846892605,-0.0595771941063421,-0.08904548366431764
2024-09-03,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,15.49,13.35715650064222,0.15967795984536304,overvalued,77.31783945071635,309.2713578028654,1.1630677966336933,11.484417795164042,0.5711044487910106,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk,real_rate;DEFAULT_PROXY:cu_inventory,power_grid_proxy,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",72890.0,571.48,256351.0,18595.0,29.31209499,2.0842203571736944,0.5803314659197012,0.5539685598377282,0.5,0.7,0.55,0.20171957671957672,0.9338235294117647,0.4186206896551724,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,-0.05229180116204002,-0.047127178825048466,-0.08327953518398978
2024-09-04,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,14.68,13.265272112589331,0.10664899109517911,neutral,76.4434744869944,305.7738979479776,1.1499150011205956,11.535871868496614,0.5839679671241538,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk,real_rate;DEFAULT_PROXY:cu_inventory,power_grid_proxy,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",71700.0,567.53,256351.0,18595.0,28.93358705,2.4294944861982413,0.589755538579068,0.5732196201364559,0.5,0.7,0.55,0.20238095238095238,0.9959893048128342,0.4620689655172414,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,0.0,-0.03610354223433243,-0.032697547683923744
2024-09-05,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,14.68,13.161463513813809,0.11537747945677834,neutral,76.03486255049557,304.1394502019823,1.1437683810386305,11.507105574873627,0.5767763937184069,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk,real_rate;DEFAULT_PROXY:cu_inventory,power_grid_proxy,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",71520.0,571.79,256351.0,18595.0,28.96665857,2.223955583076987,0.5794269374416434,0.5718539553752535,0.5,0.7,0.55,0.20304232804232805,0.9264705882352942,0.4806896551724138,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,0.005449591280654031,-0.03133514986376018,0.0
2024-09-06,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,14.76,13.184789571425403,0.11947179134268882,neutral,76.64932804226291,306.59731216905163,1.1530115910234726,11.43508848833159,0.558772122082898,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk,real_rate;DEFAULT_PROXY:cu_inventory,power_grid_proxy,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",73050.0,572.84,256351.0,18595.0,29.37840035,1.7266309319704518,0.5581691919191919,0.5598918495297805,0.5,0.7,0.55,0.2037037037037037,0.7840909090909091,0.48827586206896556,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,-0.041327913279132766,-0.03794037940379402,0.01897018970189701
2024-09-09,zijin,daily,walk_forward_strict,v2_fundamental_valuation_model,v2_fundamental_valuation_model,strict,,active,14.15,13.476127695498935,0.05000489159257082,neutral,77.64953627160392,310.5981450864157,1.1680574069663257,11.537213509479027,0.5843033773697568,0,2024-06-30,2024-08-24,2024-08-24,6,1.0,-70.10621049856536,"{""cu_au_revenue_index"": 4.832814212360907, ""revenue_x_demand"": 2.7656100122509315, ""is_q4"": -2.0696398542470447}","REAL_API:risk,real_rate;DEFAULT_PROXY:cu_inventory,power_grid_proxy,central_bank_gold_proxy,gold_etf_proxy,usd;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",72410.0,570.26,256351.0,18595.0,29.16636061,2.45882270500724,0.5855411255411256,0.5820047021943574,0.5,0.7,0.55,0.20436507936507936,0.9659090909090909,0.5013793103448276,0.6,0.55,0.5,reports\601899\2024\601899_2024Q4.pdf,True,0.8999999999999999,0.004946996466431042,0.0035335689045936647,0.08833922261484095
