trade_date,company,frequency,mode,model_version,profit_model_version,strict_status,blocked_reason,signal_status,actual_stock_close_raw,model_price,gap,signal,q_profit_pred_bn,annual_profit_pred_bn,eps_pred,target_pe,demand_score,is_q4,visible_quarter,visible_financial_announcement_date,visible_production_available_date,train_quarters_count,ridge_alpha,ridge_intercept,ridge_coef_json,data_quality_flag,al_price,alumina_price,al_spread,al_spread_k,alumina_price_k,inventory_score,al_price_trend_score,al_spread_score,grid_proxy_score,nev_proxy_score,pmi_score,property_proxy_score,alumina_price_source,selected_profit_model,al_spread_q_mean,alumina_price_q_mean,demand_score_q_mean,last_announced_q_profit_bn,ttm_announced_profit_bn,last_2q_avg_profit_bn,raw_signal,fwd_1w_return,fwd_3w_return,fwd_6w_return
2023-06-23,chalco,weekly,walk_forward_strict,v2_fundamental_valuation_model,v2_chalco_original_profit_model,blocked,insufficient_training_data,not_available,5.45,,,,,,,,0.47000000000000003,0,2023-03-31,2023-04-26,,0,,,,"REAL_API:;DEFAULT_PROXY:inventory,grid_proxy,nev_proxy,property_proxy;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",18390.0,2738.0,13119.349999999999,13.119349999999999,2.738,0.5,0.3,,0.55,0.55,0.5,0.45,SHFE_AO,,,,,,,,,0.007339449541284404,0.08073394495412844,0.15779816513761458
2023-06-30,chalco,weekly,walk_forward_strict,v2_fundamental_valuation_model,v2_chalco_original_profit_model,blocked,insufficient_training_data,not_available,5.49,,,,,,,,0.47000000000000003,0,2023-03-31,2023-04-26,,0,,,,"REAL_API:;DEFAULT_PROXY:inventory,grid_proxy,nev_proxy,property_proxy;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",18010.0,2812.0,12596.9,12.5969,2.812,0.5,0.3,,0.55,0.55,0.5,0.45,SHFE_AO,,,,,,,,,0.10382513661202175,0.06739526411657559,0.11839708561020035
2023-07-07,chalco,weekly,walk_forward_strict,v2_fundamental_valuation_model,v2_chalco_original_profit_model,blocked,insufficient_training_data,not_available,6.06,,,,,,,,0.47000000000000003,0,2023-03-31,2023-04-26,,0,,,,"REAL_API:;DEFAULT_PROXY:inventory,grid_proxy,nev_proxy,property_proxy;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",17845.0,2828.0,12401.099999999999,12.401099999999998,2.828,0.5,0.3,,0.55,0.55,0.5,0.45,SHFE_AO,,,,,,,,,-0.028052805280528004,0.024752475247524774,-0.02310231023102305
2023-07-14,chalco,weekly,walk_forward_strict,v2_fundamental_valuation_model,v2_chalco_original_profit_model,blocked,insufficient_training_data,not_available,5.89,,,,,,,,0.47000000000000003,0,2023-03-31,2023-04-26,,0,,,,"REAL_API:;DEFAULT_PROXY:inventory,grid_proxy,nev_proxy,property_proxy;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",18300.0,2785.0,12938.875,12.938875,2.785,0.5,0.3,,0.55,0.55,0.5,0.45,SHFE_AO,,,,,,,,,-0.005093378607809784,0.07130730050933787,-0.011884550084889534
2023-07-21,chalco,weekly,walk_forward_strict,v2_fundamental_valuation_model,v2_chalco_original_profit_model,blocked,insufficient_training_data,not_available,5.86,,,,,,,,0.47000000000000003,0,2023-03-31,2023-04-26,,0,,,,"REAL_API:;DEFAULT_PROXY:inventory,grid_proxy,nev_proxy,property_proxy;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",18320.0,2868.0,12799.099999999999,12.7991,2.868,0.5,0.3,,0.55,0.55,0.5,0.45,SHFE_AO,,,,,,,,,0.05972696245733777,0.04778156996587013,0.07679180887372006
2023-07-28,chalco,weekly,walk_forward_strict,v2_fundamental_valuation_model,v2_chalco_original_profit_model,blocked,insufficient_training_data,not_available,6.21,,,,,,,,0.47000000000000003,0,2023-03-31,2023-04-26,,0,,,,"REAL_API:;DEFAULT_PROXY:inventory,grid_proxy,nev_proxy,property_proxy;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",18390.0,2880.0,12846.0,12.846,2.88,0.5,0.3,,0.55,0.55,0.5,0.45,SHFE_AO,,,,,,,,,0.0161030595813203,-0.04669887278582929,0.05797101449275366
2023-08-04,chalco,weekly,walk_forward_strict,v2_fundamental_valuation_model,v2_chalco_original_profit_model,blocked,insufficient_training_data,not_available,6.31,,,,,,,,0.47000000000000003,0,2023-03-31,2023-04-26,,0,,,,"REAL_API:grid_proxy,property_proxy;DEFAULT_PROXY:inventory,nev_proxy;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",18500.0,2871.0,12973.325,12.973325,2.871,0.5,0.3,,0.55,0.55,0.5,0.45,SHFE_AO,,,,,,,,,-0.02694136291600635,-0.07765451664025347,0.058637083993660966
2023-08-11,chalco,weekly,walk_forward_strict,v2_fundamental_valuation_model,v2_chalco_original_profit_model,blocked,insufficient_training_data,not_available,6.14,,,,,,,,0.47000000000000003,0,2023-03-31,2023-04-26,,0,,,,"REAL_API:;DEFAULT_PROXY:inventory,grid_proxy,nev_proxy,property_proxy;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",18425.0,2900.0,12842.5,12.8425,2.9,0.5,0.3,,0.55,0.55,0.5,0.45,SHFE_AO,,,,,,,,,-0.03583061889250816,0.027687296416938123,0.05374592833876224
2023-08-18,chalco,weekly,walk_forward_strict,v2_fundamental_valuation_model,v2_chalco_original_profit_model,blocked,insufficient_training_data,not_available,5.92,,,,,,,,0.47000000000000003,0,2023-03-31,2023-04-26,,0,,,,"REAL_API:;DEFAULT_PROXY:inventory,grid_proxy,nev_proxy,property_proxy;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",18400.0,2895.0,12827.125,12.827125,2.895,0.5,0.3,,0.55,0.55,0.5,0.45,SHFE_AO,,,,,,,,,-0.016891891891891886,0.10979729729729737,0.06081081081081097
2023-08-25,chalco,weekly,walk_forward_strict,v2_fundamental_valuation_model,v2_chalco_original_profit_model,blocked,insufficient_training_data,not_available,5.82,,,,,,,,0.47000000000000003,0,2023-06-30,2023-08-23,,1,,,,"REAL_API:;DEFAULT_PROXY:inventory,grid_proxy,nev_proxy,property_proxy;MARKET_ASOF_BACKWARD;PROXY_ASOF_BACKWARD",18555.0,2970.0,12837.75,12.83775,2.97,0.5,0.3,,0.55,0.55,0.5,0.45,SHFE_AO,,,,,,,,,0.08419243986254288,0.1477663230240549,0.04982817869415812
