period,source_pdf,parse_confidence,strict_usable,parse_warning,primary_al_output_ton,primary_al_sales_ton,alumina_output_ton,alumina_external_sales_ton
2026Q1,reports\601600\2026\601600_2026Q1.pdf,0.2,False,;MISSING_REQUIRED_VOLUME,,,,
2025Q4,reports\601600\2025\601600_2025Q4.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2025Q3,reports\601600\2025\601600_2025Q3.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2025Q2,reports\601600\2025\601600_2025Q2.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2025Q1,reports\601600\2025\601600_2025Q1.pdf,0.2,False,;MISSING_REQUIRED_VOLUME,,,,
2024Q4,reports\601600\2024\601600_2024Q4.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2024Q3,reports\601600\2024\601600_2024Q3.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2024Q1,reports\601600\2024\601600_2024Q1.pdf,0.2,False,;MISSING_REQUIRED_VOLUME,,,,
2023Q4,reports\601600\2023\601600_2023Q4.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2023Q3,reports\601600\2023\601600_2023Q3.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2023Q2,reports\601600\2023\601600_2023Q2.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2023Q1,reports\601600\2023\601600_2023Q1.pdf,0.2,False,;MISSING_REQUIRED_VOLUME,,,,
2022Q4,reports\601600\2022\601600_2022Q4.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2022Q3,reports\601600\2022\601600_2022Q3.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2022Q2,reports\601600\2022\601600_2022Q2.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2022Q1,reports\601600\2022\601600_2022Q1.pdf,0.2,False,;MISSING_REQUIRED_VOLUME,,,,
2021Q4,reports\601600\2021\601600_2021Q4.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2021Q3,reports\601600\2021\601600_2021Q3.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2021Q2,reports\601600\2021\601600_2021Q2.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2021Q1,reports\601600\2021\601600_2021Q1.pdf,0.2,False,;MISSING_REQUIRED_VOLUME,,,,
2020Q4,reports\601600\2020\601600_2020Q4.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2020Q3,reports\601600\2020\601600_2020Q3.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2020Q2,reports\601600\2020\601600_2020Q2.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
2020Q1,reports\601600\2020\601600_2020Q1.pdf,0.2,False,;MISSING_REQUIRED_VOLUME,,,,
2019Q4,reports\601600\2019\601600_2019Q4.pdf,0.2,False,CUMULATIVE_DATA_NEEDS_COMPLETE_CONVERSION;MISSING_REQUIRED_VOLUME,,,,
