quarter,model,q_profit_pred_bn,actual_q_profit_bn,last_announced_q_profit_bn,train_quarters_count,ridge_alpha,ridge_coef_json
2024-09-30,A_strict_cu_au_revenue,88.79285678260337,92.73073263,88.23542384999999,6,0.01,"{""cu_au_revenue_index"": 11.980036298312283, ""revenue_x_demand"": 2.5320766195786857, ""is_q4"": -3.121584032139333}"
2024-12-31,A_strict_cu_au_revenue,81.43903955699054,76.93143515999998,92.73073263,7,0.1,"{""cu_au_revenue_index"": 14.76585221441532, ""revenue_x_demand"": 2.629855751923057, ""is_q4"": -2.9653840302166667}"
2025-03-31,A_strict_cu_au_revenue,103.06199714018786,101.66777095,76.93143515999998,8,0.1,"{""cu_au_revenue_index"": 16.006644988495225, ""revenue_x_demand"": 3.266241232486268, ""is_q4"": -4.252193727977075}"
2025-06-30,A_strict_cu_au_revenue,122.66159778837246,131.24975376,101.66777095,9,0.1,"{""cu_au_revenue_index"": 18.69283313161381, ""revenue_x_demand"": 3.286192415058172, ""is_q4"": -3.9350456727858463}"
2025-09-30,A_strict_cu_au_revenue,129.3613641610348,145.71868503000002,131.24975376,10,0.1,"{""cu_au_revenue_index"": 24.79474373864495, ""revenue_x_demand"": 3.3660812171128276, ""is_q4"": -4.039795846468734}"
2025-12-31,A_strict_cu_au_revenue,159.6229624513059,139.13706810999997,145.71868503000002,11,0.1,"{""cu_au_revenue_index"": 30.421710800710958, ""revenue_x_demand"": 2.371828879697169, ""is_q4"": -4.703386808046453}"
2026-03-31,A_strict_cu_au_revenue,185.82200501929805,200.79391507,139.13706810999997,12,1.0,"{""cu_au_revenue_index"": 31.807798493260343, ""revenue_x_demand"": 0.7259581660245292, ""is_q4"": -6.787429377962692}"
2024-09-30,B_strict_revenue_profit_anchor,70.42328257248707,92.73073263,88.23542384999999,6,50.0,"{""cu_au_revenue_index"": 1.1760027429707876, ""revenue_x_demand"": 0.4377943267619206, ""last_announced_q_profit_bn"": 0.39806926610244914, ""ttm_announced_profit_bn"": 0.8234556811979621, ""last_2q_avg_profit_bn"": 0.6008212956506026, ""is_q1"": -0.03272927325021993, ""is_q2"": 0.4558904928682687, ""is_q3"": -0.024302402112365826, ""is_q4"": -0.5109589064667385}"
2024-12-31,B_strict_revenue_profit_anchor,88.43714587278268,76.93143515999998,92.73073263,7,1.0,"{""cu_au_revenue_index"": 9.21176764941878, ""revenue_x_demand"": 3.2177260516185004, ""last_announced_q_profit_bn"": 0.24440938611714041, ""ttm_announced_profit_bn"": 2.6393993789601855, ""last_2q_avg_profit_bn"": 2.7817044026659823, ""is_q1"": 1.4037748715964844, ""is_q2"": 0.3426956263418127, ""is_q3"": 0.25331433701469536, ""is_q4"": -2.5817111205903616}"
2025-03-31,B_strict_revenue_profit_anchor,101.58756220795243,101.66777095,76.93143515999998,8,1.0,"{""cu_au_revenue_index"": 10.337724245273767, ""revenue_x_demand"": 3.9870544360150992, ""last_announced_q_profit_bn"": 1.7631984089472312, ""ttm_announced_profit_bn"": 1.9702373752937898, ""last_2q_avg_profit_bn"": 2.0279294917991937, ""is_q1"": 1.8356535951522046, ""is_q2"": 0.5232799736218103, ""is_q3"": 1.1689415110925334, ""is_q4"": -3.527875079866548}"
2025-06-30,B_strict_revenue_profit_anchor,120.60724605207886,131.24975376,101.66777095,9,0.01,"{""cu_au_revenue_index"": 20.831782585849822, ""revenue_x_demand"": 3.148033423088121, ""last_announced_q_profit_bn"": 9.05097384691331, ""ttm_announced_profit_bn"": -4.848394553375693, ""last_2q_avg_profit_bn"": -5.688454863422637, ""is_q1"": 3.9169285295596312, ""is_q2"": -0.7506298866185686, ""is_q3"": -0.15580706804527697, ""is_q4"": -3.5349425278055757}"
2025-09-30,B_strict_revenue_profit_anchor,133.19892659279813,145.71868503000002,131.24975376,10,0.01,"{""cu_au_revenue_index"": 28.867282983188836, ""revenue_x_demand"": 1.2291539792043094, ""last_announced_q_profit_bn"": 12.209963354859633, ""ttm_announced_profit_bn"": 3.730121041401221, ""last_2q_avg_profit_bn"": -19.449957607969946, ""is_q1"": 2.399451170286998, ""is_q2"": -1.236430675260204, ""is_q3"": 1.1421157791814591, ""is_q4"": -2.474523142494202}"
2025-12-31,B_strict_revenue_profit_anchor,153.53140054184854,139.13706810999997,145.71868503000002,11,1.0,"{""cu_au_revenue_index"": 12.996078544654416, ""revenue_x_demand"": 3.185805185541896, ""last_announced_q_profit_bn"": 5.285430729192669, ""ttm_announced_profit_bn"": 7.789370279137767, ""last_2q_avg_profit_bn"": 4.518694899378893, ""is_q1"": 1.330376042546555, ""is_q2"": 1.467421481259676, ""is_q3"": 1.4138973876914873, ""is_q4"": -4.863246381795578}"
2026-03-31,B_strict_revenue_profit_anchor,186.43560983143294,200.79391507,139.13706810999997,12,1.0,"{""cu_au_revenue_index"": 13.020561839210712, ""revenue_x_demand"": 2.337703009455694, ""last_announced_q_profit_bn"": 6.778292763949094, ""ttm_announced_profit_bn"": 9.699216138464337, ""last_2q_avg_profit_bn"": 5.562263361163746, ""is_q1"": 1.5424095769666555, ""is_q2"": 2.436718846127072, ""is_q3"": 2.3199301437549815, ""is_q4"": -6.29905856684871}"
